"state_name","cit","year"
"Georgia",6,2006
"Georgia",6,2007
"Georgia",6,2008
"Georgia",6,2009
"Georgia",6,2010
"Georgia",6,2011
"Georgia",6,2012
"Georgia",6,2013
"Georgia",6,2014
"Georgia",6,2015
"Georgia",6,2016
"Georgia",6,2017
"Georgia",6,2018
"Georgia",5.75,2019
"Georgia",5.75,2020
"Hawaii",6.4,2000
"Hawaii",6.4,2001
"Hawaii",6.4,2002
"Hawaii",6.4,2003
"Hawaii",6.4,2004
"Hawaii",6.4,2005
"Hawaii",6.4,2006
"Hawaii",6.4,2007
"Hawaii",6.4,2008
"Hawaii",6.4,2009
"Hawaii",6.4,2010
"Hawaii",6.4,2011
"Hawaii",6.4,2012
"Hawaii",6.4,2013
"Hawaii",6.4,2014
"Hawaii",6.4,2015
"Hawaii",6.4,2016
"Hawaii",6.4,2017
"Hawaii",6.4,2018
"Hawaii",6.4,2019
"Hawaii",6.4,2020
"Idaho",8,2000
"Idaho",8,2001
"Idaho",7.6,2002
"Idaho",7.6,2003
"Idaho",7.6,2004
"Idaho",7.6,2005
"Idaho",7.6,2006
"Idaho",7.6,2007
"Idaho",7.6,2008
"Idaho",7.6,2009
"Idaho",7.6,2010
"Idaho",7.6,2011
"Idaho",7.6,2012
"Idaho",7.4,2013
"Idaho",7.4,2014
"Idaho",7.4,2015
"Idaho",7.4,2016
"Idaho",7.4,2017
"Idaho",7.4,2018
"Idaho",6.924,2019
"Idaho",6.924,2020
"Illinois",7.3,2000
"Illinois",7.3,2001
"Illinois",7.3,2002
"Illinois",7.3,2003
"Illinois",7.3,2004
"Illinois",7.3,2005
"Illinois",7.3,2006
"Illinois",7.3,2007
"Illinois",7.3,2008
"Illinois",7.3,2009
"Illinois",7.3,2010
"Illinois",9.5,2011
"Illinois",9.5,2012
"Illinois",9.5,2013
"Illinois",9.5,2014
"Illinois",7.75,2015
"Illinois",7.75,2016
"Illinois",7.75,2017
"Illinois",9.5,2018
"Illinois",9.5,2019
"Illinois",9.5,2020
"Indiana",7.9,2000
"Indiana",7.9,2001
"Indiana",7.9,2002
"Indiana",8.5,2003
"Indiana",8.5,2004
"Indiana",8.5,2005
"Indiana",8.5,2006
"Indiana",8.5,2007
"Indiana",8.5,2008
"Indiana",8.5,2009
"Indiana",8.5,2010
"Indiana",8.5,2011
"Indiana",8.25,2012
"Indiana",8,2013
"Indiana",8,2014
"Indiana",6.75,2015
"Indiana",6.5,2016
"Indiana",6.25,2017
"Indiana",6,2018
"Indiana",5.75,2019
"Indiana",5.5,2020
"Iowa",12,2000
"Iowa",12,2001
"Iowa",12,2002
"Iowa",12,2003
"Iowa",12,2004
"Iowa",12,2005
"Iowa",12,2006
"Iowa",12,2007
"Iowa",12,2008
"Iowa",12,2009
"Iowa",12,2010
"Iowa",12,2011
"Iowa",12,2012
"Iowa",12,2013
"Iowa",12,2014
"Iowa",12,2015
"Iowa",12,2016
"Iowa",12,2017
"Iowa",12,2018
"Iowa",12,2019
"Iowa",12,2020
"Kansas",7.35,2000
"Kansas",7.35,2001
"Kansas",7.35,2002
"Kansas",7.35,2003
"Kansas",7.35,2004
"Kansas",7.35,2005
"Kansas",7.35,2006
"Kansas",7.35,2007
"Kansas",7.35,2008
"Kansas",7.05,2009
"Kansas",7.05,2010
"Kansas",7,2011
"Kansas",7,2012
"Kansas",7,2013
"Kansas",7,2014
"Kansas",7,2015
"Kansas",7,2016
"Kansas",7,2017
"Kansas",7,2018
"Kansas",7,2019
"Kansas",7,2020
"Kentucky",8.25,2000
"Kentucky",8.25,2001
"Kentucky",8.25,2002
"Kentucky",8.25,2003
"Kentucky",8.25,2004
"Kentucky",8.25,2005
"Kentucky",7,2006
"Kentucky",7,2007
"Kentucky",6,2008
"Kentucky",6,2009
"Kentucky",6,2010
"Kentucky",6,2011
"Kentucky",6,2012
"Kentucky",6,2013
"Kentucky",6,2014
"Kentucky",6,2015
"Kentucky",6,2016
"Kentucky",6,2017
"Kentucky",6,2018
"Kentucky",5,2019
"Kentucky",5,2020
"Louisiana",8,2000
"Louisiana",8,2001
"Louisiana",8,2002
"Louisiana",8,2003
"Louisiana",8,2004
"Louisiana",8,2005
"Louisiana",8,2006
"Louisiana",8,2007
"Louisiana",8,2008
"Louisiana",8,2009
"Louisiana",8,2010
"Louisiana",8,2011
"Louisiana",8,2012
"Louisiana",8,2013
"Louisiana",8,2014
"Louisiana",8,2015
"Louisiana",8,2016
"Louisiana",8,2017
"Louisiana",8,2018
"Louisiana",8,2019
"Louisiana",8,2020
"Maine",8.93,2000
"Maine",8.93,2001
"Maine",8.93,2002
"Maine",8.93,2003
"Maine",8.93,2004
"Maine",8.93,2005
"Maine",8.93,2006
"Maine",8.93,2007
"Maine",8.93,2008
"Maine",8.93,2009
"Maine",8.93,2010
"Maine",8.93,2011
"Maine",8.93,2012
"Maine",8.93,2013
"Maine",8.93,2014
"Maine",8.93,2015
"Maine",8.93,2016
"Maine",8.93,2017
"Maine",8.93,2018
"Maine",8.93,2019
"Maine",8.93,2020
"Maryland",7,2000
"Maryland",7,2001
"Maryland",7,2002
"Maryland",7,2003
"Maryland",7,2004
"Maryland",7,2005
"Maryland",7,2006
"Maryland",7,2007
"Maryland",8.3,2008
"Maryland",8.3,2009
"Maryland",8.25,2010
"Maryland",8.25,2011
"Maryland",8.25,2012
"Maryland",8.25,2013
"Maryland",8.25,2014
"Maryland",8.25,2015
"Maryland",8.25,2016
"Maryland",8.25,2017
"Maryland",8.25,2018
"Maryland",8.25,2019
"Maryland",8.25,2020
"Massachusetts",9.5,2000
"Massachusetts",9.5,2001
"Massachusetts",9.5,2002
"Massachusetts",9.5,2003
"Massachusetts",9.5,2004
"Massachusetts",9.5,2005
"Massachusetts",9.5,2006
"Massachusetts",9.5,2007
"Massachusetts",9.5,2008
"Massachusetts",9.5,2009
"Massachusetts",8.75,2010
"Massachusetts",8.25,2011
"Massachusetts",8,2012
"Massachusetts",8,2013
"Massachusetts",8,2014
"Massachusetts",8,2015
"Massachusetts",8,2016
"Massachusetts",8,2017
"Massachusetts",8,2018
"Massachusetts",8,2019
"Massachusetts",8,2020
"Michigan",2.2,2000
"Michigan",2.1,2001
"Michigan",2,2002
"Michigan",1.9,2003
"Michigan",1.9,2004
"Michigan",1.9,2005
"Michigan",1.9,2006
"Michigan",1.9,2007
"Michigan",4.95,2008
"Michigan",4.95,2009
"Michigan",4.95,2010
"Michigan",4.95,2011
"Michigan",6,2012
"Michigan",6,2013
"Michigan",6,2014
"Michigan",6,2015
"Michigan",6,2016
"Michigan",6,2017
"Michigan",6,2018
"Michigan",6,2019
"Michigan",6,2020
"Minnesota",9.8,2000
"Minnesota",9.8,2001
"Minnesota",9.8,2002
"Minnesota",9.8,2003
"Minnesota",9.8,2004
"Minnesota",9.8,2005
"Minnesota",9.8,2006
"Minnesota",9.8,2007
"Minnesota",9.8,2008
"Minnesota",9.8,2009
"Minnesota",9.8,2010
"Minnesota",9.8,2011
"Minnesota",9.8,2012
"Minnesota",9.8,2013
"Minnesota",9.8,2014
"Minnesota",9.8,2015
"Minnesota",9.8,2016
"Minnesota",9.8,2017
"Minnesota",9.8,2018
"Minnesota",9.8,2019
"Minnesota",9.8,2020
"Mississippi",5,2000
"Mississippi",5,2001
"Mississippi",5,2002
"Mississippi",5,2003
"Mississippi",5,2004
"Mississippi",5,2005
"Mississippi",5,2006
"Mississippi",5,2007
"Mississippi",5,2008
"Mississippi",5,2009
"Mississippi",5,2010
"Mississippi",5,2011
"Mississippi",5,2012
"Mississippi",5,2013
"Mississippi",5,2014
"Mississippi",5,2015
"Mississippi",5,2016
"Mississippi",5,2017
"Mississippi",5,2018
"Mississippi",5,2019
"Mississippi",5,2020
"Missouri",6.25,2000
"Missouri",6.25,2001
"Missouri",6.25,2002
"Missouri",6.25,2003
"Missouri",6.25,2004
"Missouri",6.25,2005
"Missouri",6.25,2006
"Missouri",6.25,2007
"Missouri",6.25,2008
"Missouri",6.25,2009
"Missouri",6.25,2010
"Missouri",6.25,2011
"Missouri",6.25,2012
"Missouri",6.25,2013
"Missouri",6.25,2014
"Missouri",6.25,2015
"Missouri",6.25,2016
"Missouri",6.25,2017
"Missouri",6.25,2018
"Missouri",6.25,2019
"Missouri",4,2020
"Montana",6.75,2000
"Montana",6.75,2001
"Montana",6.75,2002
"Montana",6.75,2003
"Montana",6.75,2004
"Montana",6.75,2005
"Montana",6.75,2006
"Montana",6.75,2007
"Montana",6.75,2008
"Montana",6.75,2009
"Montana",6.75,2010
"Montana",6.75,2011
"Montana",6.75,2012
"Montana",6.75,2013
"Montana",6.75,2014
"Montana",6.75,2015
"Montana",6.75,2016
"Montana",6.75,2017
"Montana",6.75,2018
"Montana",6.75,2019
"Montana",6.75,2020
"Nebraska",7.81,2000
"Nebraska",7.81,2001
"Nebraska",7.81,2002
"Nebraska",7.81,2003
"Nebraska",7.81,2004
"Nebraska",7.81,2005
"Nebraska",7.81,2006
"Nebraska",7.81,2007
"Nebraska",7.81,2008
"Nebraska",7.81,2009
"Nebraska",7.81,2010
"Nebraska",7.81,2011
"Nebraska",7.81,2012
"Nebraska",7.81,2013
"Nebraska",7.81,2014
"Nebraska",7.81,2015
"Nebraska",7.81,2016
"Nebraska",7.81,2017
"Nebraska",7.81,2018
"Nebraska",7.81,2019
"Nebraska",7.81,2020
"Nevada",0,2000
"Nevada",0,2001
"Nevada",0,2002
"Nevada",0,2003
"Nevada",0,2004
"Nevada",0,2005
"Nevada",0,2006
"Nevada",0,2007
"Nevada",0,2008
"Nevada",0,2009
"Nevada",0,2010
"Nevada",0,2011
"Nevada",0,2012
"Nevada",0,2013
"Nevada",0,2014
"Nevada",0,2015
"Nevada",0,2016
"Nevada",0,2017
"Nevada",0,2018
"Nevada",0,2019
"Nevada",0,2020
"New Hampshire",7.25,2000
"New Hampshire",8.5,2001
"New Hampshire",8.5,2002
"New Hampshire",8.5,2003
"New Hampshire",8.5,2004
"New Hampshire",8.5,2005
"New Hampshire",8.5,2006
"New Hampshire",8.5,2007
"New Hampshire",8.5,2008
"New Hampshire",8.5,2009
"New Hampshire",8.5,2010
"New Hampshire",8.5,2011
"New Hampshire",8.5,2012
"New Hampshire",8.5,2013
"New Hampshire",8.5,2014
"New Hampshire",8.5,2015
"New Hampshire",8.5,2016
"New Hampshire",8.199,2017
"New Hampshire",8.199,2018
"New Hampshire",7.7,2019
"New Hampshire",7.7,2020
"New Jersey",9,2000
"New Jersey",9,2001
"New Jersey",9,2002
"New Jersey",9,2003
"New Jersey",9,2004
"New Jersey",9,2005
"New Jersey",9,2006
"New Jersey",9,2007
"New Jersey",9,2008
"New Jersey",9,2009
"New Jersey",9,2010
"New Jersey",9,2011
"New Jersey",9,2012
"New Jersey",9,2013
"New Jersey",9,2014
"New Jersey",9,2015
"New Jersey",9,2016
"New Jersey",9,2017
"New Jersey",9,2018
"New Jersey",9,2019
"New Jersey",9,2020
"New Mexico",7.6,2000
"New Mexico",7.6,2001
"New Mexico",7.6,2002
"New Mexico",7.6,2003
"New Mexico",7.6,2004
"New Mexico",7.6,2005
"New Mexico",7.6,2006
"New Mexico",7.6,2007
"New Mexico",7.6,2008
"New Mexico",7.6,2009
"New Mexico",7.6,2010
"New Mexico",7.6,2011
"New Mexico",7.6,2012
"New Mexico",7.6,2013
"New Mexico",7.3,2014
"New Mexico",6.9,2015
"New Mexico",6.6,2016
"New Mexico",6.2,2017
"New Mexico",5.9,2018
"New Mexico",5.9,2019
"New Mexico",5.9,2020
"New York",8.5,2000
"New York",8,2001
"New York",7.5,2002
"New York",7.5,2003
"New York",7.5,2004
"New York",7.5,2005
"New York",7.5,2006
"New York",7.5,2007
"New York",7.1,2008
"New York",7.1,2009
"New York",7.1,2010
"New York",7.1,2011
"New York",7.1,2012
"New York",7.1,2013
"New York",7.1,2014
"New York",7.1,2015
"New York",6.5,2016
"New York",6.5,2017
"New York",6.5,2018
"New York",6.5,2019
"New York",6.5,2020
"North Carolina",6.9,2000
"North Carolina",6.9,2001
"North Carolina",6.9,2002
"North Carolina",6.9,2003
"North Carolina",6.9,2004
"North Carolina",6.9,2005
"North Carolina",6.9,2006
"North Carolina",6.9,2007
"North Carolina",6.9,2008
"North Carolina",6.9,2009
"North Carolina",6.9,2010
"North Carolina",6.9,2011
"North Carolina",6.9,2012
"North Carolina",6.9,2013
"North Carolina",6,2014
"North Carolina",5,2015
"North Carolina",4,2016
"North Carolina",3,2017
"North Carolina",3,2018
"North Carolina",2.5,2019
"North Carolina",2.5,2020
"North Dakota",10.5,2000
"North Dakota",10.5,2001
"North Dakota",10.5,2002
"North Dakota",10.5,2003
"North Dakota",10.5,2004
"North Dakota",7,2005
"North Dakota",7,2006
"North Dakota",7,2007
"North Dakota",6.5,2008
"North Dakota",6.5,2009
"North Dakota",6.4,2010
"North Dakota",6.4,2011
"North Dakota",5.2,2012
"North Dakota",5.15,2013
"North Dakota",4.53,2014
"North Dakota",4.53,2015
"North Dakota",4.31,2016
"North Dakota",4.31,2017
"North Dakota",4.31,2018
"North Dakota",4.31,2019
"North Dakota",4.31,2020
"Ohio",8.5,2000
"Ohio",8.5,2001
"Ohio",8.5,2002
"Ohio",8.5,2003
"Ohio",8.5,2004
"Ohio",8.5,2005
"Ohio",8.5,2006
"Ohio",8.5,2007
"Ohio",8.5,2008
"Ohio",0.26,2009
"Ohio",0.26,2010
"Ohio",0.26,2011
"Ohio",0.26,2012
"Ohio",0.26,2013
"Ohio",0.26,2014
"Ohio",0.26,2015
"Ohio",0.26,2016
"Ohio",0.26,2017
"Ohio",0.26,2018
"Ohio",0.26,2019
"Ohio",0.26,2020
"Oklahoma",6,2000
"Oklahoma",6,2001
"Oklahoma",6,2002
"Oklahoma",6,2003
"Oklahoma",6,2004
"Oklahoma",6,2005
"Oklahoma",6,2006
"Oklahoma",6,2007
"Oklahoma",6,2008
"Oklahoma",6,2009
"Oklahoma",6,2010
"Oklahoma",6,2011
"Oklahoma",6,2012
"Oklahoma",6,2013
"Oklahoma",6,2014
"Oklahoma",6,2015
"Oklahoma",6,2016
"Oklahoma",6,2017
"Oklahoma",6,2018
"Oklahoma",6,2019
"Oklahoma",6,2020
"Oregon",6.6,2000
"Oregon",6.6,2001
"Oregon",6.6,2002
"Oregon",6.6,2003
"Oregon",6.6,2004
"Oregon",6.6,2005
"Oregon",6.6,2006
"Oregon",6.6,2007
"Oregon",6.6,2008
"Oregon",7.9,2009
"Oregon",7.9,2010
"Oregon",7.6,2011
"Oregon",7.6,2012
"Oregon",7.6,2013
"Oregon",7.6,2014
"Oregon",7.6,2015
"Oregon",7.6,2016
"Oregon",7.6,2017
"Oregon",7.6,2018
"Oregon",7.6,2019
"Oregon",7.6,2020
"Pennsylvania",9.99,2000
"Pennsylvania",9.99,2001
"Pennsylvania",9.99,2002
"Pennsylvania",9.99,2003
"Pennsylvania",9.99,2004
"Pennsylvania",9.99,2005
"Pennsylvania",9.99,2006
"Pennsylvania",9.99,2007
"Pennsylvania",9.99,2008
"Pennsylvania",9.99,2009
"Pennsylvania",9.99,2010
"Pennsylvania",9.99,2011
"Pennsylvania",9.99,2012
"Pennsylvania",9.99,2013
"Pennsylvania",9.99,2014
"Pennsylvania",9.99,2015
"Pennsylvania",9.99,2016
"Pennsylvania",9.99,2017
"Pennsylvania",9.99,2018
"Pennsylvania",9.99,2019
"Pennsylvania",9.99,2020
"Rhode Island",9,2000
"Rhode Island",9,2001
"Rhode Island",9,2002
"Rhode Island",9,2003
"Rhode Island",9,2004
"Rhode Island",9,2005
"Rhode Island",9,2006
"Rhode Island",9,2007
"Rhode Island",9,2008
"Rhode Island",9,2009
"Rhode Island",9,2010
"Rhode Island",9,2011
"Rhode Island",9,2012
"Rhode Island",9,2013
"Rhode Island",9,2014
"Rhode Island",7,2015
"Rhode Island",7,2016
"Rhode Island",7,2017
"Rhode Island",7,2018
"Rhode Island",7,2019
"Rhode Island",7,2020
"South Carolina",5,2000
"South Carolina",5,2001
"South Carolina",5,2002
"South Carolina",5,2003
"South Carolina",5,2004
"South Carolina",5,2005
"South Carolina",5,2006
"South Carolina",5,2007
"South Carolina",5,2008
"South Carolina",5,2009
"South Carolina",5,2010
"South Carolina",5,2011
"South Carolina",5,2012
"South Carolina",5,2013
"South Carolina",5,2014
"South Carolina",5,2015
"South Carolina",5,2016
"South Carolina",5,2017
"South Carolina",5,2018
"South Carolina",5,2019
"South Carolina",5,2020
"South Dakota",0,2000
"South Dakota",0,2001
"South Dakota",0,2002
"South Dakota",0,2003
"South Dakota",0,2004
"South Dakota",0,2005
"South Dakota",0,2006
"South Dakota",0,2007
"South Dakota",0,2008
"South Dakota",0,2009
"South Dakota",0,2010
"South Dakota",0,2011
"South Dakota",0,2012
"South Dakota",0,2013
"South Dakota",0,2014
"South Dakota",0,2015
"South Dakota",0,2016
"South Dakota",0,2017
"South Dakota",0,2018
"South Dakota",0,2019
"South Dakota",0,2020
"Tennessee",6,2000
"Tennessee",6,2001
"Tennessee",6,2002
"Tennessee",6.5,2003
"Tennessee",6.5,2004
"Tennessee",6.5,2005
"Tennessee",6.5,2006
"Tennessee",6.5,2007
"Tennessee",6.5,2008
"Tennessee",6.5,2009
"Tennessee",6.5,2010
"Tennessee",6.5,2011
"Tennessee",6.5,2012
"Tennessee",6.5,2013
"Tennessee",6.5,2014
"Tennessee",6.5,2015
"Tennessee",6.5,2016
"Tennessee",6.5,2017
"Tennessee",6.5,2018
"Tennessee",6.5,2019
"Tennessee",6.5,2020
"Texas",0,2000
"Texas",0,2001
"Texas",0,2002
"Texas",0,2003
"Texas",0,2004
"Texas",4.5,2005
"Texas",4.5,2006
"Texas",4.5,2007
"Texas",1,2008
"Texas",1,2009
"Texas",1,2010
"Texas",1,2011
"Texas",1,2012
"Texas",1,2013
"Texas",1,2014
"Texas",0.5,2015
"Texas",0.5,2016
"Texas",0.5,2017
"Texas",0.5,2018
"Texas",0.5,2019
"Texas",0.5,2020
"Utah",5,2000
"Utah",5,2001
"Utah",5,2002
"Utah",5,2003
"Utah",5,2004
"Utah",5,2005
"Utah",5,2006
"Utah",5,2007
"Utah",5,2008
"Utah",5,2009
"Utah",5,2010
"Utah",5,2011
"Utah",5,2012
"Utah",5,2013
"Utah",5,2014
"Utah",5,2015
"Utah",5,2016
"Utah",5,2017
"Utah",5,2018
"Utah",4.95,2019
"Utah",4.95,2020
"Vermont",9.75,2000
"Vermont",9.75,2001
"Vermont",9.75,2002
"Vermont",9.75,2003
"Vermont",9.75,2004
"Vermont",9.75,2005
"Vermont",9.75,2006
"Vermont",8.9,2007
"Vermont",8.5,2008
"Vermont",8.5,2009
"Vermont",8.5,2010
"Vermont",8.5,2011
"Vermont",8.5,2012
"Vermont",8.5,2013
"Vermont",8.5,2014
"Vermont",8.5,2015
"Vermont",8.5,2016
"Vermont",8.5,2017
"Vermont",8.5,2018
"Vermont",8.5,2019
"Vermont",8.5,2020
"Virginia",6,2000
"Virginia",6,2001
"Virginia",6,2002
"Virginia",6,2003
"Virginia",6,2004
"Virginia",6,2005
"Virginia",6,2006
"Virginia",6,2007
"Virginia",6,2008
"Virginia",6,2009
"Virginia",6,2010
"Virginia",6,2011
"Virginia",6,2012
"Virginia",6,2013
"Virginia",6,2014
"Virginia",6,2015
"Virginia",6,2016
"Virginia",6,2017
"Virginia",6,2018
"Virginia",6,2019
"Virginia",6,2020
"Washington",0,2000
"Washington",0,2001
"Washington",0,2002
"Washington",0,2003
"Washington",0,2004
"Washington",0,2005
"Washington",0,2006
"Washington",0,2007
"Washington",0,2008
"Washington",0,2009
"Washington",0,2010
"Washington",0,2011
"Washington",0,2012
"Washington",0,2013
"Washington",0,2014
"Washington",0,2015
"Washington",0,2016
"Washington",0,2017
"Washington",0,2018
"Washington",0,2019
"Washington",0,2020
"West Virginia",9,2000
"West Virginia",9,2001
"West Virginia",9,2002
"West Virginia",9,2003
"West Virginia",9,2004
"West Virginia",9,2005
"West Virginia",9,2006
"West Virginia",9,2007
"West Virginia",8.75,2008
"West Virginia",8.5,2009
"West Virginia",8.5,2010
"West Virginia",8.5,2011
"West Virginia",7.75,2012
"West Virginia",7,2013
"West Virginia",6.5,2014
"West Virginia",6.5,2015
"West Virginia",6.5,2016
"West Virginia",6.5,2017
"West Virginia",6.5,2018
"West Virginia",6.5,2019
"West Virginia",6.5,2020
"Wisconsin",7.9,2000
"Wisconsin",7.9,2001
"Wisconsin",7.9,2002
"Wisconsin",7.9,2003
"Wisconsin",7.9,2004
"Wisconsin",7.9,2005
"Wisconsin",7.9,2006
"Wisconsin",7.9,2007
"Wisconsin",7.9,2008
"Wisconsin",7.9,2009
"Wisconsin",7.9,2010
"Wisconsin",7.9,2011
"Wisconsin",7.9,2012
"Wisconsin",7.9,2013
"Wisconsin",7.9,2014
"Wisconsin",7.9,2015
"Wisconsin",7.9,2016
"Wisconsin",7.9,2017
"Wisconsin",7.9,2018
"Wisconsin",7.9,2019
"Wisconsin",7.9,2020
"Wyoming",0,2000
"Wyoming",0,2001
"Wyoming",0,2002
"Wyoming",0,2003
"Wyoming",0,2004
"Wyoming",0,2005
"Wyoming",0,2006
"Wyoming",0,2007
"Wyoming",0,2008
"Wyoming",0,2009
"Wyoming",0,2010
"Wyoming",0,2011
"Wyoming",0,2012
"Wyoming",0,2013
"Wyoming",0,2014
"Wyoming",0,2015
"Wyoming",0,2016
"Wyoming",0,2017
"Wyoming",0,2018
"Wyoming",0,2019
"Wyoming",0,2020
