"state_fips","state_name","year","cit"
8,"Colorado",2020,4.63
9,"Connecticut",2000,7.5
9,"Connecticut",2001,7.5
9,"Connecticut",2002,7.5
9,"Connecticut",2003,7.5
9,"Connecticut",2004,7.5
9,"Connecticut",2005,7.5
9,"Connecticut",2006,7.5
9,"Connecticut",2007,7.5
9,"Connecticut",2008,7.5
9,"Connecticut",2009,7.5
9,"Connecticut",2010,7.5
9,"Connecticut",2011,7.5
9,"Connecticut",2012,9
9,"Connecticut",2013,9
9,"Connecticut",2014,9
9,"Connecticut",2015,9
9,"Connecticut",2016,9
9,"Connecticut",2017,7.5
9,"Connecticut",2018,8.25
9,"Connecticut",2019,8.25
9,"Connecticut",2020,8.25
10,"Delaware",2000,8.7
10,"Delaware",2001,8.7
10,"Delaware",2002,8.7
10,"Delaware",2003,8.7
10,"Delaware",2004,8.7
10,"Delaware",2005,8.7
10,"Delaware",2006,8.7
10,"Delaware",2007,8.7
10,"Delaware",2008,8.7
10,"Delaware",2009,8.7
10,"Delaware",2010,8.7
10,"Delaware",2011,8.7
10,"Delaware",2012,8.7
10,"Delaware",2013,8.7
10,"Delaware",2014,8.7
10,"Delaware",2015,8.7
10,"Delaware",2016,8.7
10,"Delaware",2017,8.7
10,"Delaware",2018,8.7
10,"Delaware",2019,8.7
10,"Delaware",2020,8.7
11,"District of Columbia",2000,9.975
11,"District of Columbia",2001,9.975
11,"District of Columbia",2002,9.975
11,"District of Columbia",2003,9.975
11,"District of Columbia",2004,9.975
11,"District of Columbia",2005,9.974
11,"District of Columbia",2006,9.974
11,"District of Columbia",2007,9.975
11,"District of Columbia",2008,9.975
11,"District of Columbia",2009,9.975
11,"District of Columbia",2010,9.975
11,"District of Columbia",2011,9.975
11,"District of Columbia",2012,9.975
11,"District of Columbia",2013,9.974
11,"District of Columbia",2014,9.974
11,"District of Columbia",2015,9.4
11,"District of Columbia",2016,9.4
11,"District of Columbia",2017,9
11,"District of Columbia",2018,8.25
11,"District of Columbia",2019,8.25
11,"District of Columbia",2020,8.25
12,"Florida",2000,5.5
12,"Florida",2001,5.5
12,"Florida",2002,5.5
12,"Florida",2003,5.5
12,"Florida",2004,5.5
12,"Florida",2005,5.5
12,"Florida",2006,5.5
12,"Florida",2007,5.5
12,"Florida",2008,5.5
12,"Florida",2009,5.5
12,"Florida",2010,5.5
12,"Florida",2011,5.5
12,"Florida",2012,5.5
12,"Florida",2013,5.5
12,"Florida",2014,5.5
12,"Florida",2015,5.5
12,"Florida",2016,5.5
12,"Florida",2017,5.5
12,"Florida",2018,5.5
12,"Florida",2019,5.5
12,"Florida",2020,4.458
13,"Georgia",2000,6
13,"Georgia",2001,6
13,"Georgia",2002,6
13,"Georgia",2003,6
13,"Georgia",2004,6
13,"Georgia",2005,6
13,"Georgia",2006,6
13,"Georgia",2007,6
13,"Georgia",2008,6
13,"Georgia",2009,6
13,"Georgia",2010,6
13,"Georgia",2011,6
13,"Georgia",2012,6
13,"Georgia",2013,6
13,"Georgia",2014,6
13,"Georgia",2015,6
13,"Georgia",2016,6
13,"Georgia",2017,6
13,"Georgia",2018,6
13,"Georgia",2019,5.75
13,"Georgia",2020,5.75
15,"Hawaii",2000,6.4
15,"Hawaii",2001,6.4
15,"Hawaii",2002,6.4
15,"Hawaii",2003,6.4
15,"Hawaii",2004,6.4
15,"Hawaii",2005,6.4
15,"Hawaii",2006,6.4
15,"Hawaii",2007,6.4
15,"Hawaii",2008,6.4
15,"Hawaii",2009,6.4
15,"Hawaii",2010,6.4
15,"Hawaii",2011,6.4
15,"Hawaii",2012,6.4
15,"Hawaii",2013,6.4
15,"Hawaii",2014,6.4
15,"Hawaii",2015,6.4
15,"Hawaii",2016,6.4
15,"Hawaii",2017,6.4
15,"Hawaii",2018,6.4
15,"Hawaii",2019,6.4
15,"Hawaii",2020,6.4
16,"Idaho",2000,8
16,"Idaho",2001,8
16,"Idaho",2002,7.6
16,"Idaho",2003,7.6
16,"Idaho",2004,7.6
16,"Idaho",2005,7.6
16,"Idaho",2006,7.6
16,"Idaho",2007,7.6
16,"Idaho",2008,7.6
16,"Idaho",2009,7.6
16,"Idaho",2010,7.6
16,"Idaho",2011,7.6
16,"Idaho",2012,7.6
16,"Idaho",2013,7.4
16,"Idaho",2014,7.4
16,"Idaho",2015,7.4
16,"Idaho",2016,7.4
16,"Idaho",2017,7.4
16,"Idaho",2018,7.4
16,"Idaho",2019,6.924
16,"Idaho",2020,6.924
17,"Illinois",2000,7.3
17,"Illinois",2001,7.3
17,"Illinois",2002,7.3
17,"Illinois",2003,7.3
17,"Illinois",2004,7.3
17,"Illinois",2005,7.3
17,"Illinois",2006,7.3
17,"Illinois",2007,7.3
17,"Illinois",2008,7.3
17,"Illinois",2009,7.3
17,"Illinois",2010,7.3
17,"Illinois",2011,9.5
17,"Illinois",2012,9.5
17,"Illinois",2013,9.5
17,"Illinois",2014,9.5
17,"Illinois",2015,7.75
17,"Illinois",2016,7.75
17,"Illinois",2017,7.75
17,"Illinois",2018,9.5
17,"Illinois",2019,9.5
17,"Illinois",2020,9.5
18,"Indiana",2000,7.9
18,"Indiana",2001,7.9
18,"Indiana",2002,7.9
18,"Indiana",2003,8.5
18,"Indiana",2004,8.5
18,"Indiana",2005,8.5
18,"Indiana",2006,8.5
18,"Indiana",2007,8.5
18,"Indiana",2008,8.5
18,"Indiana",2009,8.5
18,"Indiana",2010,8.5
18,"Indiana",2011,8.5
18,"Indiana",2012,8.25
18,"Indiana",2013,8
18,"Indiana",2014,8
18,"Indiana",2015,6.75
18,"Indiana",2016,6.5
18,"Indiana",2017,6.25
18,"Indiana",2018,6
18,"Indiana",2019,5.75
18,"Indiana",2020,5.5
19,"Iowa",2000,12
19,"Iowa",2001,12
19,"Iowa",2002,12
19,"Iowa",2003,12
19,"Iowa",2004,12
19,"Iowa",2005,12
19,"Iowa",2006,12
19,"Iowa",2007,12
19,"Iowa",2008,12
19,"Iowa",2009,12
19,"Iowa",2010,12
19,"Iowa",2011,12
19,"Iowa",2012,12
19,"Iowa",2013,12
19,"Iowa",2014,12
19,"Iowa",2015,12
19,"Iowa",2016,12
19,"Iowa",2017,12
19,"Iowa",2018,12
19,"Iowa",2019,12
19,"Iowa",2020,12
20,"Kansas",2000,7.35
20,"Kansas",2001,7.35
20,"Kansas",2002,7.35
20,"Kansas",2003,7.35
20,"Kansas",2004,7.35
20,"Kansas",2005,7.35
20,"Kansas",2006,7.35
20,"Kansas",2007,7.35
20,"Kansas",2008,7.35
20,"Kansas",2009,7.05
20,"Kansas",2010,7.05
20,"Kansas",2011,7
20,"Kansas",2012,7
20,"Kansas",2013,7
20,"Kansas",2014,7
20,"Kansas",2015,7
20,"Kansas",2016,7
20,"Kansas",2017,7
20,"Kansas",2018,7
20,"Kansas",2019,7
20,"Kansas",2020,7
21,"Kentucky",2000,8.25
21,"Kentucky",2001,8.25
21,"Kentucky",2002,8.25
21,"Kentucky",2003,8.25
21,"Kentucky",2004,8.25
21,"Kentucky",2005,8.25
21,"Kentucky",2006,7
21,"Kentucky",2007,7
21,"Kentucky",2008,6
21,"Kentucky",2009,6
21,"Kentucky",2010,6
21,"Kentucky",2011,6
21,"Kentucky",2012,6
21,"Kentucky",2013,6
21,"Kentucky",2014,6
21,"Kentucky",2015,6
21,"Kentucky",2016,6
21,"Kentucky",2017,6
21,"Kentucky",2018,6
21,"Kentucky",2019,5
21,"Kentucky",2020,5
22,"Louisiana",2000,8
22,"Louisiana",2001,8
22,"Louisiana",2002,8
22,"Louisiana",2003,8
22,"Louisiana",2004,8
22,"Louisiana",2005,8
22,"Louisiana",2006,8
22,"Louisiana",2007,8
22,"Louisiana",2008,8
22,"Louisiana",2009,8
22,"Louisiana",2010,8
22,"Louisiana",2011,8
22,"Louisiana",2012,8
22,"Louisiana",2013,8
22,"Louisiana",2014,8
22,"Louisiana",2015,8
22,"Louisiana",2016,8
22,"Louisiana",2017,8
22,"Louisiana",2018,8
22,"Louisiana",2019,8
22,"Louisiana",2020,8
23,"Maine",2000,8.93
23,"Maine",2001,8.93
23,"Maine",2002,8.93
23,"Maine",2003,8.93
23,"Maine",2004,8.93
23,"Maine",2005,8.93
23,"Maine",2006,8.93
23,"Maine",2007,8.93
23,"Maine",2008,8.93
23,"Maine",2009,8.93
23,"Maine",2010,8.93
23,"Maine",2011,8.93
23,"Maine",2012,8.93
23,"Maine",2013,8.93
23,"Maine",2014,8.93
23,"Maine",2015,8.93
23,"Maine",2016,8.93
23,"Maine",2017,8.93
23,"Maine",2018,8.93
23,"Maine",2019,8.93
23,"Maine",2020,8.93
24,"Maryland",2000,7
24,"Maryland",2001,7
24,"Maryland",2002,7
24,"Maryland",2003,7
24,"Maryland",2004,7
24,"Maryland",2005,7
24,"Maryland",2006,7
24,"Maryland",2007,7
24,"Maryland",2008,8.3
24,"Maryland",2009,8.3
24,"Maryland",2010,8.25
24,"Maryland",2011,8.25
24,"Maryland",2012,8.25
24,"Maryland",2013,8.25
24,"Maryland",2014,8.25
24,"Maryland",2015,8.25
24,"Maryland",2016,8.25
24,"Maryland",2017,8.25
24,"Maryland",2018,8.25
24,"Maryland",2019,8.25
24,"Maryland",2020,8.25
25,"Massachusetts",2000,9.5
25,"Massachusetts",2001,9.5
25,"Massachusetts",2002,9.5
25,"Massachusetts",2003,9.5
25,"Massachusetts",2004,9.5
25,"Massachusetts",2005,9.5
25,"Massachusetts",2006,9.5
25,"Massachusetts",2007,9.5
25,"Massachusetts",2008,9.5
25,"Massachusetts",2009,9.5
25,"Massachusetts",2010,8.75
25,"Massachusetts",2011,8.25
25,"Massachusetts",2012,8
25,"Massachusetts",2013,8
25,"Massachusetts",2014,8
25,"Massachusetts",2015,8
25,"Massachusetts",2016,8
25,"Massachusetts",2017,8
25,"Massachusetts",2018,8
25,"Massachusetts",2019,8
25,"Massachusetts",2020,8
26,"Michigan",2000,2.2
26,"Michigan",2001,2.1
26,"Michigan",2002,2
26,"Michigan",2003,1.9
26,"Michigan",2004,1.9
26,"Michigan",2005,1.9
26,"Michigan",2006,1.9
26,"Michigan",2007,1.9
26,"Michigan",2008,4.95
26,"Michigan",2009,4.95
26,"Michigan",2010,4.95
26,"Michigan",2011,4.95
26,"Michigan",2012,6
26,"Michigan",2013,6
26,"Michigan",2014,6
26,"Michigan",2015,6
26,"Michigan",2016,6
26,"Michigan",2017,6
26,"Michigan",2018,6
26,"Michigan",2019,6
26,"Michigan",2020,6
27,"Minnesota",2000,9.8
27,"Minnesota",2001,9.8
27,"Minnesota",2002,9.8
27,"Minnesota",2003,9.8
27,"Minnesota",2004,9.8
27,"Minnesota",2005,9.8
27,"Minnesota",2006,9.8
27,"Minnesota",2007,9.8
27,"Minnesota",2008,9.8
27,"Minnesota",2009,9.8
27,"Minnesota",2010,9.8
27,"Minnesota",2011,9.8
27,"Minnesota",2012,9.8
27,"Minnesota",2013,9.8
27,"Minnesota",2014,9.8
27,"Minnesota",2015,9.8
27,"Minnesota",2016,9.8
27,"Minnesota",2017,9.8
27,"Minnesota",2018,9.8
27,"Minnesota",2019,9.8
27,"Minnesota",2020,9.8
28,"Mississippi",2000,5
28,"Mississippi",2001,5
28,"Mississippi",2002,5
28,"Mississippi",2003,5
28,"Mississippi",2004,5
28,"Mississippi",2005,5
28,"Mississippi",2006,5
28,"Mississippi",2007,5
28,"Mississippi",2008,5
28,"Mississippi",2009,5
28,"Mississippi",2010,5
28,"Mississippi",2011,5
28,"Mississippi",2012,5
28,"Mississippi",2013,5
28,"Mississippi",2014,5
28,"Mississippi",2015,5
28,"Mississippi",2016,5
28,"Mississippi",2017,5
28,"Mississippi",2018,5
28,"Mississippi",2019,5
28,"Mississippi",2020,5
29,"Missouri",2000,6.25
29,"Missouri",2001,6.25
29,"Missouri",2002,6.25
29,"Missouri",2003,6.25
29,"Missouri",2004,6.25
29,"Missouri",2005,6.25
29,"Missouri",2006,6.25
29,"Missouri",2007,6.25
29,"Missouri",2008,6.25
29,"Missouri",2009,6.25
29,"Missouri",2010,6.25
29,"Missouri",2011,6.25
29,"Missouri",2012,6.25
29,"Missouri",2013,6.25
29,"Missouri",2014,6.25
29,"Missouri",2015,6.25
29,"Missouri",2016,6.25
29,"Missouri",2017,6.25
29,"Missouri",2018,6.25
29,"Missouri",2019,6.25
29,"Missouri",2020,4
30,"Montana",2000,6.75
30,"Montana",2001,6.75
30,"Montana",2002,6.75
30,"Montana",2003,6.75
30,"Montana",2004,6.75
30,"Montana",2005,6.75
30,"Montana",2006,6.75
30,"Montana",2007,6.75
30,"Montana",2008,6.75
30,"Montana",2009,6.75
30,"Montana",2010,6.75
30,"Montana",2011,6.75
30,"Montana",2012,6.75
30,"Montana",2013,6.75
30,"Montana",2014,6.75
30,"Montana",2015,6.75
30,"Montana",2016,6.75
30,"Montana",2017,6.75
30,"Montana",2018,6.75
30,"Montana",2019,6.75
30,"Montana",2020,6.75
31,"Nebraska",2000,7.81
31,"Nebraska",2001,7.81
31,"Nebraska",2002,7.81
31,"Nebraska",2003,7.81
31,"Nebraska",2004,7.81
31,"Nebraska",2005,7.81
31,"Nebraska",2006,7.81
31,"Nebraska",2007,7.81
31,"Nebraska",2008,7.81
31,"Nebraska",2009,7.81
31,"Nebraska",2010,7.81
31,"Nebraska",2011,7.81
31,"Nebraska",2012,7.81
31,"Nebraska",2013,7.81
31,"Nebraska",2014,7.81
31,"Nebraska",2015,7.81
31,"Nebraska",2016,7.81
31,"Nebraska",2017,7.81
31,"Nebraska",2018,7.81
31,"Nebraska",2019,7.81
31,"Nebraska",2020,7.81
32,"Nevada",2000,0
32,"Nevada",2001,0
32,"Nevada",2002,0
32,"Nevada",2003,0
32,"Nevada",2004,0
32,"Nevada",2005,0
32,"Nevada",2006,0
32,"Nevada",2007,0
32,"Nevada",2008,0
32,"Nevada",2009,0
32,"Nevada",2010,0
32,"Nevada",2011,0
32,"Nevada",2012,0
32,"Nevada",2013,0
32,"Nevada",2014,0
32,"Nevada",2015,0
32,"Nevada",2016,0
32,"Nevada",2017,0
32,"Nevada",2018,0
32,"Nevada",2019,0
32,"Nevada",2020,0
33,"New Hampshire",2000,7.25
33,"New Hampshire",2001,8.5
33,"New Hampshire",2002,8.5
33,"New Hampshire",2003,8.5
33,"New Hampshire",2004,8.5
33,"New Hampshire",2005,8.5
33,"New Hampshire",2006,8.5
33,"New Hampshire",2007,8.5
33,"New Hampshire",2008,8.5
33,"New Hampshire",2009,8.5
33,"New Hampshire",2010,8.5
33,"New Hampshire",2011,8.5
33,"New Hampshire",2012,8.5
33,"New Hampshire",2013,8.5
33,"New Hampshire",2014,8.5
33,"New Hampshire",2015,8.5
33,"New Hampshire",2016,8.5
33,"New Hampshire",2017,8.199
33,"New Hampshire",2018,8.199
33,"New Hampshire",2019,7.7
33,"New Hampshire",2020,7.7
34,"New Jersey",2000,9
34,"New Jersey",2001,9
34,"New Jersey",2002,9
34,"New Jersey",2003,9
34,"New Jersey",2004,9
34,"New Jersey",2005,9
34,"New Jersey",2006,9
34,"New Jersey",2007,9
34,"New Jersey",2008,9
34,"New Jersey",2009,9
34,"New Jersey",2010,9
34,"New Jersey",2011,9
34,"New Jersey",2012,9
34,"New Jersey",2013,9
34,"New Jersey",2014,9
34,"New Jersey",2015,9
34,"New Jersey",2016,9
34,"New Jersey",2017,9
34,"New Jersey",2018,9
34,"New Jersey",2019,9
34,"New Jersey",2020,9
35,"New Mexico",2000,7.6
35,"New Mexico",2001,7.6
35,"New Mexico",2002,7.6
35,"New Mexico",2003,7.6
35,"New Mexico",2004,7.6
35,"New Mexico",2005,7.6
35,"New Mexico",2006,7.6
35,"New Mexico",2007,7.6
35,"New Mexico",2008,7.6
35,"New Mexico",2009,7.6
35,"New Mexico",2010,7.6
35,"New Mexico",2011,7.6
35,"New Mexico",2012,7.6
35,"New Mexico",2013,7.6
35,"New Mexico",2014,7.3
35,"New Mexico",2015,6.9
35,"New Mexico",2016,6.6
35,"New Mexico",2017,6.2
35,"New Mexico",2018,5.9
35,"New Mexico",2019,5.9
35,"New Mexico",2020,5.9
36,"New York",2000,8.5
36,"New York",2001,8
36,"New York",2002,7.5
36,"New York",2003,7.5
36,"New York",2004,7.5
36,"New York",2005,7.5
36,"New York",2006,7.5
36,"New York",2007,7.5
36,"New York",2008,7.1
36,"New York",2009,7.1
36,"New York",2010,7.1
36,"New York",2011,7.1
36,"New York",2012,7.1
36,"New York",2013,7.1
36,"New York",2014,7.1
36,"New York",2015,7.1
36,"New York",2016,6.5
36,"New York",2017,6.5
36,"New York",2018,6.5
36,"New York",2019,6.5
36,"New York",2020,6.5
37,"North Carolina",2000,6.9
37,"North Carolina",2001,6.9
37,"North Carolina",2002,6.9
37,"North Carolina",2003,6.9
37,"North Carolina",2004,6.9
37,"North Carolina",2005,6.9
37,"North Carolina",2006,6.9
37,"North Carolina",2007,6.9
37,"North Carolina",2008,6.9
37,"North Carolina",2009,6.9
37,"North Carolina",2010,6.9
37,"North Carolina",2011,6.9
37,"North Carolina",2012,6.9
37,"North Carolina",2013,6.9
37,"North Carolina",2014,6
37,"North Carolina",2015,5
37,"North Carolina",2016,4
37,"North Carolina",2017,3
37,"North Carolina",2018,3
37,"North Carolina",2019,2.5
37,"North Carolina",2020,2.5
38,"North Dakota",2000,10.5
38,"North Dakota",2001,10.5
38,"North Dakota",2002,10.5
38,"North Dakota",2003,10.5
38,"North Dakota",2004,10.5
38,"North Dakota",2005,7
38,"North Dakota",2006,7
38,"North Dakota",2007,7
38,"North Dakota",2008,6.5
38,"North Dakota",2009,6.5
38,"North Dakota",2010,6.4
38,"North Dakota",2011,6.4
38,"North Dakota",2012,5.2
38,"North Dakota",2013,5.15
38,"North Dakota",2014,4.53
38,"North Dakota",2015,4.53
38,"North Dakota",2016,4.31
38,"North Dakota",2017,4.31
38,"North Dakota",2018,4.31
38,"North Dakota",2019,4.31
38,"North Dakota",2020,4.31
39,"Ohio",2000,8.5
39,"Ohio",2001,8.5
39,"Ohio",2002,8.5
39,"Ohio",2003,8.5
39,"Ohio",2004,8.5
39,"Ohio",2005,8.5
39,"Ohio",2006,8.5
39,"Ohio",2007,8.5
39,"Ohio",2008,8.5
39,"Ohio",2009,0.26
39,"Ohio",2010,0.26
39,"Ohio",2011,0.26
39,"Ohio",2012,0.26
39,"Ohio",2013,0.26
39,"Ohio",2014,0.26
39,"Ohio",2015,0.26
39,"Ohio",2016,0.26
39,"Ohio",2017,0.26
39,"Ohio",2018,0.26
39,"Ohio",2019,0.26
39,"Ohio",2020,0.26
40,"Oklahoma",2000,6
40,"Oklahoma",2001,6
40,"Oklahoma",2002,6
40,"Oklahoma",2003,6
40,"Oklahoma",2004,6
40,"Oklahoma",2005,6
40,"Oklahoma",2006,6
40,"Oklahoma",2007,6
40,"Oklahoma",2008,6
40,"Oklahoma",2009,6
40,"Oklahoma",2010,6
40,"Oklahoma",2011,6
40,"Oklahoma",2012,6
40,"Oklahoma",2013,6
40,"Oklahoma",2014,6
40,"Oklahoma",2015,6
40,"Oklahoma",2016,6
40,"Oklahoma",2017,6
40,"Oklahoma",2018,6
40,"Oklahoma",2019,6
40,"Oklahoma",2020,6
41,"Oregon",2000,6.6
41,"Oregon",2001,6.6
41,"Oregon",2002,6.6
41,"Oregon",2003,6.6
41,"Oregon",2004,6.6
41,"Oregon",2005,6.6
41,"Oregon",2006,6.6
41,"Oregon",2007,6.6
41,"Oregon",2008,6.6
41,"Oregon",2009,7.9
41,"Oregon",2010,7.9
41,"Oregon",2011,7.6
41,"Oregon",2012,7.6
41,"Oregon",2013,7.6
41,"Oregon",2014,7.6
41,"Oregon",2015,7.6
41,"Oregon",2016,7.6
41,"Oregon",2017,7.6
41,"Oregon",2018,7.6
41,"Oregon",2019,7.6
41,"Oregon",2020,7.6
42,"Pennsylvania",2000,9.99
42,"Pennsylvania",2001,9.99
42,"Pennsylvania",2002,9.99
42,"Pennsylvania",2003,9.99
42,"Pennsylvania",2004,9.99
42,"Pennsylvania",2005,9.99
42,"Pennsylvania",2006,9.99
42,"Pennsylvania",2007,9.99
42,"Pennsylvania",2008,9.99
42,"Pennsylvania",2009,9.99
42,"Pennsylvania",2010,9.99
42,"Pennsylvania",2011,9.99
42,"Pennsylvania",2012,9.99
42,"Pennsylvania",2013,9.99
42,"Pennsylvania",2014,9.99
42,"Pennsylvania",2015,9.99
42,"Pennsylvania",2016,9.99
42,"Pennsylvania",2017,9.99
42,"Pennsylvania",2018,9.99
42,"Pennsylvania",2019,9.99
42,"Pennsylvania",2020,9.99
44,"Rhode Island",2000,9
44,"Rhode Island",2001,9
44,"Rhode Island",2002,9
44,"Rhode Island",2003,9
44,"Rhode Island",2004,9
44,"Rhode Island",2005,9
44,"Rhode Island",2006,9
44,"Rhode Island",2007,9
44,"Rhode Island",2008,9
44,"Rhode Island",2009,9
44,"Rhode Island",2010,9
44,"Rhode Island",2011,9
44,"Rhode Island",2012,9
44,"Rhode Island",2013,9
44,"Rhode Island",2014,9
44,"Rhode Island",2015,7
44,"Rhode Island",2016,7
44,"Rhode Island",2017,7
44,"Rhode Island",2018,7
44,"Rhode Island",2019,7
44,"Rhode Island",2020,7
45,"South Carolina",2000,5
45,"South Carolina",2001,5
45,"South Carolina",2002,5
45,"South Carolina",2003,5
45,"South Carolina",2004,5
45,"South Carolina",2005,5
45,"South Carolina",2006,5
45,"South Carolina",2007,5
45,"South Carolina",2008,5
45,"South Carolina",2009,5
45,"South Carolina",2010,5
45,"South Carolina",2011,5
45,"South Carolina",2012,5
45,"South Carolina",2013,5
45,"South Carolina",2014,5
45,"South Carolina",2015,5
45,"South Carolina",2016,5
45,"South Carolina",2017,5
45,"South Carolina",2018,5
45,"South Carolina",2019,5
45,"South Carolina",2020,5
46,"South Dakota",2000,0
46,"South Dakota",2001,0
46,"South Dakota",2002,0
46,"South Dakota",2003,0
46,"South Dakota",2004,0
46,"South Dakota",2005,0
46,"South Dakota",2006,0
46,"South Dakota",2007,0
46,"South Dakota",2008,0
46,"South Dakota",2009,0
46,"South Dakota",2010,0
46,"South Dakota",2011,0
46,"South Dakota",2012,0
46,"South Dakota",2013,0
46,"South Dakota",2014,0
46,"South Dakota",2015,0
46,"South Dakota",2016,0
46,"South Dakota",2017,0
46,"South Dakota",2018,0
46,"South Dakota",2019,0
46,"South Dakota",2020,0
47,"Tennessee",2000,6
47,"Tennessee",2001,6
47,"Tennessee",2002,6
47,"Tennessee",2003,6.5
47,"Tennessee",2004,6.5
47,"Tennessee",2005,6.5
47,"Tennessee",2006,6.5
47,"Tennessee",2007,6.5
47,"Tennessee",2008,6.5
47,"Tennessee",2009,6.5
47,"Tennessee",2010,6.5
47,"Tennessee",2011,6.5
47,"Tennessee",2012,6.5
47,"Tennessee",2013,6.5
47,"Tennessee",2014,6.5
47,"Tennessee",2015,6.5
47,"Tennessee",2016,6.5
47,"Tennessee",2017,6.5
47,"Tennessee",2018,6.5
47,"Tennessee",2019,6.5
47,"Tennessee",2020,6.5
48,"Texas",2000,0
48,"Texas",2001,0
48,"Texas",2002,0
48,"Texas",2003,0
48,"Texas",2004,0
48,"Texas",2005,4.5
48,"Texas",2006,4.5
48,"Texas",2007,4.5
48,"Texas",2008,1
48,"Texas",2009,1
48,"Texas",2010,1
48,"Texas",2011,1
48,"Texas",2012,1
48,"Texas",2013,1
48,"Texas",2014,1
48,"Texas",2015,0.5
48,"Texas",2016,0.5
48,"Texas",2017,0.5
48,"Texas",2018,0.5
48,"Texas",2019,0.5
48,"Texas",2020,0.5
49,"Utah",2000,5
49,"Utah",2001,5
49,"Utah",2002,5
49,"Utah",2003,5
49,"Utah",2004,5
49,"Utah",2005,5
49,"Utah",2006,5
49,"Utah",2007,5
49,"Utah",2008,5
49,"Utah",2009,5
49,"Utah",2010,5
49,"Utah",2011,5
49,"Utah",2012,5
49,"Utah",2013,5
49,"Utah",2014,5
49,"Utah",2015,5
49,"Utah",2016,5
49,"Utah",2017,5
49,"Utah",2018,5
49,"Utah",2019,4.95
49,"Utah",2020,4.95
50,"Vermont",2000,9.75
50,"Vermont",2001,9.75
50,"Vermont",2002,9.75
